name,category,subcategory,brand,description,image_url,tags,status
YT-818291 – Prozhektor kantieri led me sensor 50W,Elektrik,Ndriçim LED,,,,elektrik,active
"Baladeze me 4 priza me kapak 25m 3×1.5mm i gomuar, IP44 – 601242",Elektrik,Çelësa & Prize,,,,elektrik,active
"Prozhekor LED SMD, 200 W",Elektrik,Ndriçim LED,,,,elektrik,active
5940020 – Baladeze me 4 priza 20m 3×1.5mm portokalli,Elektrik,Çelësa & Prize,,,,elektrik,active
"BLF4110 – Ndricues kopeshti dysh me panel, 15x18x36cm, 120Lm, IP44",Elektrik,,,,,elektrik,active
5910020 – Baladeze me 4 priza 20m 3×1.5mm kabull portokalli me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,,elektrik,active
Prozhektor led 200W 6000K 18000Lm,Elektrik,Ndriçim LED,,,,elektrik,active
601082 – Baladeze me 4 priza 25m 3×1.5,Elektrik,Çelësa & Prize,,,,elektrik,active
"ED-140 – Prozhektor 150W, 6500 K",Elektrik,Spot & Lustër,,,,elektrik,active
Baladeze metalike me 4 priza 20m 3×1.5mm – 601207,Elektrik,Çelësa & Prize,,,,elektrik,active
Prozhektor LED me sensor PIR 150W 6000K 13500Lm,Elektrik,Ndriçim LED,,,,elektrik,active
"Prozhekor LED SMD, 150 W",Elektrik,Ndriçim LED,,,,elektrik,active
"Pllafon LED LIGHTPRO fuqia 32 W, 220 – 240 V, 3400 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-2125 – Ndricues pasqyre krom 6W, 6500K Gold",Elektrik,,,,,elektrik,active
"ED-2130 – Ndricues pasqyre e zeze 6W, 6500K",Elektrik,,,,,elektrik,active
YT-81828 – Prozhektor LED 30W 3000LM me sensor,Elektrik,Ndriçim LED,,,,elektrik,active
Ndricues magazine led 150cm 90W 6500K 9350Lm,Elektrik,Ndriçim LED,,,,elektrik,active
"Ndricues pasqyre krom 6W, 6500K (20 Pcs/CRT)",Elektrik,,,,,elektrik,active
Prozhektor led 150W 6000K 13500Lm,Elektrik,Ndriçim LED,,,,elektrik,active
"Zgjatues 10m me 5 priza dhe celes 3.1.5mm i gomuar, I zi, me kapak me suste, IP44 – 601226",Elektrik,Çelësa & Prize,,,,elektrik,active
"Ndricues magazine led 120cm 72W 6500K 7850Lm, (10cope)",Elektrik,Ndriçim LED,,,,elektrik,active
Prozhektor LED me sensor PIR 100W 6000K 9000Lm,Elektrik,Ndriçim LED,,,,elektrik,active
Baladez portabel 15m 3×1.5mm – 601200,Elektrik,,,,,elektrik,active
"Ndricues magazine LED 48W, 6500K, 150CM – UTP4865",Elektrik,Ndriçim LED,,,,elektrik,active
"Prozhektor 100W, 6500 K(10Pcs/CRT)",Elektrik,Spot & Lustër,,,,elektrik,active
"Zgjatues 10m me 3 priza dhe celes 3.1.5mm i gomuar, I zi, me kapak me suste, IP44 – 601223",Elektrik,Çelësa & Prize,,,,elektrik,active
"Spot inkaso LED WELLMAX fuqia 48 W, 176 – 264 V, 6500 K, 4800 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Prozhektor LED SMD, 100 W 6500K (10 cope)",Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED, 24V, 20W/m, 240 led, 4000 K, 5 Meter – SL242440",Elektrik,Ndriçim LED,,,,elektrik,active
"Spot inkaso LED LIGHTPRO fuqia 60 W, 220 – 240 V, 4000 K, 5400 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Spot inkaso LED LIGHTPRO fuqia 60 W, 220 – 240 V, 6500 K, 5400 lm",Elektrik,Ndriçim LED,,,,elektrik,active
5940000 – Baladeze bosh per 50m kabull me 4 priza me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,,elektrik,active
ED-7035 – Ndricues kopshti katror me 3 ndarje E27,Elektrik,,,,,elektrik,active
"ED-1564 – Transformator Led RGB, 12-24 V, 24A, 576W",Elektrik,Ndriçim LED,,,,elektrik,active
"Prozhekor LED SMD me sensor, 50 W",Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED WELLMAX fuqia 14.5 W / m, 24 V, 6500 K, 1500 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED WELLMAX fuqia 14.5 W / m, 24 V, 4000 K, 1500 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED WELLMAX fuqia 14.5 W / m, 12 V, 6500 K, 1500 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED, 12V, 14.5W/5m, 240 led, 4000 K (10 cope) (500 cope)",Elektrik,Ndriçim LED,,,,elektrik,active
"Baladez me 4 priza bosh per 50m kabell, metalik – 601241",Elektrik,Çelësa & Prize,,,,elektrik,active
Prozhektor led 100W 6000K 9000Lm,Elektrik,Ndriçim LED,,,,elektrik,active
"ED-1186 – Spot rrethor jashte muri me sensor 18W,6500 K",Elektrik,Spot & Lustër,,,,elektrik,active
ED-7030 – Ndricues kopshti katror E27,Elektrik,,,,,elektrik,active
"Zgjatues 5m me 5 priza dhe celes 3.1.5mm i gomuar, I zi, me kapak me suste, IP44 – 601225",Elektrik,Çelësa & Prize,,,,elektrik,active
"Spot inkaso LED LIGHTPRO fuqia 48 W, 220 – 240 V, 4000 K, 4320 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Spot inkaso LED LIGHTPRO fuqia 48 W, 220 – 240 V, 6500 K, 4320 lm",Elektrik,Ndriçim LED,,,,elektrik,active
Prozhektor LED me sensor PIR 50W 6000K 4500Lm,Elektrik,Ndriçim LED,,,,elektrik,active
657755 – Ndricues mural ovale me sensor 3CCT 200mm 15W 4000K 1350Lm,Elektrik,Sistem Alarmi,,,,elektrik,active
"Spot inkaso LED ED-SON fuqia 40 W, 220 V, 6500 K, 3200 lm",Elektrik,Ndriçim LED,,,,elektrik,active
5910000 – Baladeze bosh per 50m kabull me 4 priza dhe mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,,elektrik,active
YT-81826 – Prozhektor LED 10W 900LM me sensor,Elektrik,Ndriçim LED,,,,elektrik,active
ED-4115 – Sahat elektronik,Elektrik,,,,,elektrik,active
"Pllafon LED ED-SON fuqia 24 W, 220 V, 6500 K, 1800 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-4020 – Ndricues jashte muri me sensor 18W , 6500K",Elektrik,Sistem Alarmi,,,,elektrik,active
"ED-1655 – Ndricues magazine 72W, 6500K, 120 c",Elektrik,,,,,elektrik,active
"Ndricues rrethor jashte muri Alumin 24W, 6500K (10 cope)",Elektrik,,,,,elektrik,active
"Zgjatues 5m me 2+2 priza dhe celes 3.1.5mm I gomuar, I zi, me kapak me suste,IP44 – 601227",Elektrik,Çelësa & Prize,,,,elektrik,active
"Ndricues rrethor inkaso kase plastike 30W, 6500K – UDR3065",Elektrik,,,,,elektrik,active
"230601051 – Zgjatues kabelli me Celes e Zeze me 6 priza 5m kabell 3×1.5mm, me mbrojte femijesh",Elektrik,Çelësa & Prize,,,,elektrik,active
"AU-1554 – Transformator Led, 12 V,21A,250W",Elektrik,Ndriçim LED,,,,elektrik,active
"Prozhekor LED SMD me sensor, 30 W",Elektrik,Ndriçim LED,,,,elektrik,active
Baladeze portabel 10m 3×1.5mm,Elektrik,,,,,elektrik,active
Prozhektor led 70W 6000K 6300Lm,Elektrik,Ndriçim LED,,,,elektrik,active
"Baladez me 4 priza bosh per 50m kabell, plastik – 601240",Elektrik,Çelësa & Prize,,,,elektrik,active
"Zgjatues 5m me 3 priza dhe celes 3.1.5mm i gomuar, I zi, me kapak me suste, IP44 – 601222",Elektrik,Çelësa & Prize,,,,elektrik,active
"Ndricues tavanor LED me kend 36 grade ,30W,4000K ngjyre e bardhe",Elektrik,Ndriçim LED,,,,elektrik,active
"Prozhektor LED me sensor PIR 30W 6000K 2700Lm, (60cope)",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-2026 – Shirit Led RGB, 12V, 50 LED 5 M",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-6061 – Ndricues muri i bardhe me 3 pika 6W, 3000K",Elektrik,,,,,elektrik,active
"Spot inkaso LED ED-SON fuqia 24 W, 220 V, 6500 K, 1800 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-125 – Prozhektor 50W, 6500 K",Elektrik,Spot & Lustër,,,,elektrik,active
"ED-6051 – Ndricues muri e zeze me 3 pika 6W, 3000K",Elektrik,,,,,elektrik,active
"230301051 – Zgjatues kabelli me Celes e Zeze me 3 priza 5m kabell 3×1.5mm, me mbrojte femijesh",Elektrik,Çelësa & Prize,,,,elektrik,active
Ndricues magazine led 60cm 36W 6500K 3850Lm,Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED WELLMAX fuqia 8 W / m, 24 V, 6500 K, 1000 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED WELLMAX fuqia 8 W / m, 24 V, 4000 K, 1000 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED WELLMAX fuqia 8 W / m, 12 V, 6500 K, 1000 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED WELLMAX fuqia 8 W / m, 12 V, 4000 K, 1000 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"230601031 – Zgjatues kabelli me Celes e Zeze me 6 priza 3m kabell 3×1.5mm, me mbrojte femijesh",Elektrik,Çelësa & Prize,3M,,,elektrik,active
"Prozhekor LED SMD, 50 W",Elektrik,Ndriçim LED,,,,elektrik,active
9195 – Komplet bashkues telash,Elektrik,,,,,elektrik,active
"Llambe LED LIGHTPRO ”Smart” fuqia 9 W, 220 – 240 V, 6500 K, 806 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
ED-4000 – Ndricues jashte muri me sensor,Elektrik,Sistem Alarmi,,,,elektrik,active
"Pllafon LED ED-SON fuqia 18 W, 220 V, 6500 K, 1350 lm",Elektrik,Ndriçim LED,,,,elektrik,active
ED-3310 – Sensor Levizje 1200W,Elektrik,Sistem Alarmi,,,,elektrik,active
"230401031 – Zgjatues kabelli me Celes e Zeze me 4 priza 3m kabell 3×1.5mm, me mbrojte femijesh",Elektrik,Çelësa & Prize,3M,,,elektrik,active
Prozhektor led 50W 6000K 4500Lm,Elektrik,Ndriçim LED,,,,elektrik,active
"AU-1550 – Transformator Led, 12 V,16.5A, 200W",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-115 – Prozhektor 20W, 6500 K",Elektrik,Spot & Lustër,,,,elektrik,active
"Prozhekor LED SMD, 30 W",Elektrik,Ndriçim LED,,,,elektrik,active
"Pllafon LED WELLMAX fuqia 12 W, 176 – 264 V, 6500 K, 720 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"230400031 – Zgjatues kabelli e Zeze me 4 priza 3m kabell 3×1.5mm, me mbrojte femijesh",Elektrik,Çelësa & Prize,3M,,,elektrik,active
"220400031 – Zgjatues kabelli e Bardhe me 4 priza 3m kabell 3×1.5mm, me mbrojte femijesh",Elektrik,Çelësa & Prize,3M,,,elektrik,active
"230301031 – Zgjatues kabelli me Celes e Zeze me 3 priza 3m kabell 3×1.5mm, me mbrojte femijesh",Elektrik,Çelësa & Prize,3M,,,elektrik,active
"AU-1543 – Transformator Led, 12 V, 10A,120W",Elektrik,Ndriçim LED,,,,elektrik,active
"Pllafon LED WELLMAX fuqia 18 W, 176 – 264 V, 6500 K, 1250 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Spot inkaso LED WELLMAX fuqia 18 W, 176 – 264 V, 6500 K, 1250 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Llambe LED WELLMAX ”Eco Lite” fuqia 45 W, 176 – 264 V, 6500 K, 5000 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
5710000 – Prize industriale trefazore ajrore IP44 / 16a 3p+N+E TS40 5X16A 50/60Hz 6h/380/415V,Elektrik,Çelësa & Prize,,,,elektrik,active
"230300031 – Zgjatues kabelli e Zeze me 3 priza 3m kabell 3×1.5mm, me mbrojte femijesh",Elektrik,Çelësa & Prize,3M,,,elektrik,active
601107 – Zgjatues 5m me 5 priza dhe celes 3×1.5mm e bardhe,Elektrik,Çelësa & Prize,,,,elektrik,active
Zgjatues 5m me 4 priza dhe celes 3×1.5mm e bardhe – 601220,Elektrik,Çelësa & Prize,,,,elektrik,active
"Llambe LED LIGHTPRO fuqia 50 W, 220 – 240 V, 6500 K, 5400 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
ED-8100 – Ndricues kopshti me mbrojtese lart e zeze,Elektrik,,,,,elektrik,active
ED-8105 – Ndricues kopshti me mbrojtese lart e zeze,Elektrik,,,,,elektrik,active
Zgjatues 5m me 3 priza dhe celes 3×1.5mm e bardhe – 601105,Elektrik,Çelësa & Prize,,,,elektrik,active
Zgjatues 5m me 5 priza 3×1.5mm e bardhe – 601103,Elektrik,Çelësa & Prize,,,,elektrik,active
"Pllafon LED LIGHTPRO fuqia 24 W, 220 – 240 V, 6500 K, 1600 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-110 – Prozhektor 10W, 6500 K",Elektrik,Spot & Lustër,,,,elektrik,active
"Llambe LED WELLMAX ”Eco Lite” fuqia 38 W, 176 – 264 V, 6500 K, 4050 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
Zgjatues 5m me 4 priza 3×1.5mm e bardhe – 601216,Elektrik,Çelësa & Prize,,,,elektrik,active
"Llambe LED LIGHTPRO fuqia 42 W, 220 – 240 V, 6500 K, 4500 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
"Spot inkaso LED ED-SON fuqia 18 W, 220 V, 6500 K, 1350 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Spot LED 2 ne 1 WELLMAX fuqia 24 W, 176 – 264 V, 6500 K, 2500 lm",Elektrik,Ndriçim LED,,,,elektrik,active
5540000 – Prizë Murale me 4 Vënde e Gomuar e Zezë,Elektrik,,,,,elektrik,active
HESST30002 – Tester per priza > 30mA,Elektrik,Çelësa & Prize,,,,elektrik,active
"Llambe LED ED-SON fuqia 40 W, 220 V, 6500 K, 3600 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
Zgjatues 5m me 3 priza 3×1.5mm e bardhe – 601100,Elektrik,Çelësa & Prize,,,,elektrik,active
"Spot inkaso rrethor 24W, 6500K, diameter 293mm, (20cope)",Elektrik,Spot & Lustër,3M,,,elektrik,active
"ED-1640 – Ndricues magazine 36W, 6500K, 120 cm",Elektrik,,,,,elektrik,active
"Spot inkaso LED WELLMAX fuqia 9 W, 176 – 264 V, 6500 K, 540 lm",Elektrik,Ndriçim LED,,,,elektrik,active
Zgjatues 3m me 5 priza dhe celes 3×1.5mm e bardhe – 601106,Elektrik,Çelësa & Prize,3M,,,elektrik,active
Prozhektor led 30W 6000K 2700Lm,Elektrik,Ndriçim LED,,,,elektrik,active
"Prozhekor LED SMD, 10 W",Elektrik,Ndriçim LED,,,,elektrik,active
"Spot LED 2 ne 1 WELLMAX fuqia 18 W, 176 – 264 V, 6500 K, 1850 lm",Elektrik,Ndriçim LED,,,,elektrik,active
Zgjatues 3m me 4 priza dhe celes 3×1.5mm e bardhe – 601219,Elektrik,Çelësa & Prize,3M,,,elektrik,active
Ndricues mural ovale 200mm 15W 4000K 1521Lm,Elektrik,,,,,elektrik,active
Zgjatues 3m me 3 priza dhe celes 3×1.5mm e bardhe – 601104,Elektrik,Çelësa & Prize,3M,,,elektrik,active
Zgjatues 3m me 5 priza 3×1.5mm e bardhe – 601102,Elektrik,Çelësa & Prize,3M,,,elektrik,active
"Llambe LED LIGHTPRO fuqia 33 W, 220 – 240 V, 6500 K, 3600 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
ED-633-2 – Ndricues muri gri me 2 ane,Elektrik,,,,,elektrik,active
ED-633-1 – Ndricues muri e bardhe me 2 ane,Elektrik,,,,,elektrik,active
"Llambe LED WELLMAX fuqia 9 W, 176 – 264 V, 6500 K, 810 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
"Llambe LED WELLMAX ”Eco Lite” fuqia 28 W, 176 – 264 V, 6500 K, 3000 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
"BHT7812 – Sonde elektrike najloni ,10m",Elektrik,,,,,elektrik,active
"Spot inkaso LED ED-SON fuqia 12 W, 220 V, 6500 K, 960 lm",Elektrik,Ndriçim LED,,,,elektrik,active
Zgjatues 3m me 4 priza 3×1.5mm e bardhe – 601215,Elektrik,Çelësa & Prize,3M,,,elektrik,active
"Pllafon LED LIGHTPRO fuqia 18 W, 220 – 240 V, 6500 K, 1400 lm",Elektrik,Ndriçim LED,,,,elektrik,active
Zgjatues 3m me 3 priza 3×1.5mm e bardhe – 601099,Elektrik,Çelësa & Prize,3M,,,elektrik,active
"BHT7813 – Sonde elektrike metalike ,10m",Elektrik,,,,,elektrik,active
Zgjatues 2m me 4 priza dhe celes 3×1.5mm e bardhe – 601218,Elektrik,Çelësa & Prize,,,,elektrik,active
"Spot inkaso LED ED-SON fuqia 9 W, 220 V, 6500 K, 675 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-1630 – Ndricues magazine 18W, 6500K, 60 cm",Elektrik,,,,,elektrik,active
Zgjatues 2m me 3 priza dhe celes 3×1.5mm e bardhe – 601217,Elektrik,Çelësa & Prize,,,,elektrik,active
Zgjatues 2m me 5 priza 3×1.5mm e bardhe – 601101,Elektrik,Çelësa & Prize,,,,elektrik,active
"Llambe LED tub 22W ,140lm/W ,150cm",Elektrik,Ndriçim LED,,,,elektrik,active
44060401 – Kanalinë 60×40 me Ngjitje ( 2m ),Elektrik,,,,,elektrik,active
7713400 – Adaptor i Tokëzuar me 3 Vënde,Elektrik,,,,,elektrik,active
"Spot inkaso LED LIGHTPRO fuqia 18 W, 220 – 240 V, 6500 K, 1400 lm",Elektrik,Ndriçim LED,,,,elektrik,active
Prozhektor led 10W 6000K 900Lm,Elektrik,Ndriçim LED,,,,elektrik,active
"Llambe LED ED-SON fuqia 30 W, 220 V, 6500 K, 2300 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
ED-3600 – Kase e jashte per spot katror 60x60cm,Elektrik,Spot & Lustër,,,,elektrik,active
Zgjatues 2m me 3 priza 3×1.5mm e bardhe,Elektrik,Çelësa & Prize,,,,elektrik,active
"BCR5126 – Fiksuese kabulli e bardhe me gozhde, 22/45 50 cope",Elektrik,,,,,elektrik,active
5530000 – Prizë Murale me 3 Vënde e Gomuar e Zezë,Elektrik,,,,,elektrik,active
5520000 – Prizë Murale me 2 Vënde e Gomuar e Zezë,Elektrik,,,,,elektrik,active
Kanaline me ngjitje 60x40mm PVC(20 cope) – 625010,Elektrik,,,,,elektrik,active
"Pllafon LED LIGHTPRO fuqia 12 W, 220 – 240 V, 6500 K, 800 lm",Elektrik,Ndriçim LED,,,,elektrik,active
Zgjatues 2m me 4 priza 3×1.5mm e bardhe – 601214,Elektrik,Çelësa & Prize,,,,elektrik,active
"Spot inkaso LED ED-SON fuqia 6 W, 220 V, 6500 K, 450 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Spot inkaso LED LIGHTPRO fuqia 12 W, 220 – 240 V, 6500 K, 800 lm",Elektrik,Ndriçim LED,,,,elektrik,active
ED-2152 – Kase spoti katrore alumini silver,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2153 – Kase spoti katrore alumini e zeze,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2150 – Kase spoti katrore alumini gold,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2151 – Kase spoti katrore alumini rose gold,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2154 – Kase spoti katrore alumini e bardhe,Elektrik,Spot & Lustër,,,,elektrik,active
"Llambe LED tub 18W ,140lm/W ,120cm (25 cope)",Elektrik,Ndriçim LED,,,,elektrik,active
"BCR5124 – Fiksuese kabulli e bardhe me gozhde, 520/40 50 cope",Elektrik,,,,,elektrik,active
Kanalinë 40×40 me Ngjitje ( 2m ),Elektrik,,,,,elektrik,active
7713000 – Adaptor i Tokëzuar me 3 Vënde Trekëndësh,Elektrik,,,,,elektrik,active
7712000 – Adaptor  i Tokëzuar me 2 Vënde,Elektrik,,,,,elektrik,active
"Llambe LED tub 18W ,100lm/W ,120cm",Elektrik,Ndriçim LED,,,,elektrik,active
"Llambe LED ED-SON fuqia 6 W, 220 V, 2700 K, 450 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
"BCR5122 – Fiksuese kabulli e bardhe me gozhde, 18/40 50 cope",Elektrik,,,,,elektrik,active
Kanalinë 40×25 me Ngjitje ( 2m ),Elektrik,,,,,elektrik,active
Kanaline me ngjitje 40x40mm PVC (40 cope) – 625009,Elektrik,,,,,elektrik,active
"Llambe LED LIGHTPRO fuqia 9 W, 220 – 240 V, 6500 K, 806 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
"Spot inkaso LED ED-SON fuqia 3 W, 220 V, 6500 K, 225 lm",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-2060 – Shirit led kundra ujit 6500K ,120Led, 100 m",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-2062 – Shirit led kundra ujit 4000K ,120Led, 100 m",Elektrik,Ndriçim LED,,,,elektrik,active
"Llambe spoti LED e dimeruseshme 7W, GU10, 4000K (10cope)(100 cope)",Elektrik,Ndriçim LED,,,,elektrik,active
"Llambe LED WELLMAX ”Pro-Series” fuqia 15 W, 176 – 264 V, 6500 K, 1521 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
"BCR5120 – Fiksuese kabulli e bardhe me gozhde, 16/35 50 cope",Elektrik,,,,,elektrik,active
"BCR5116 – Fiksuese kabulli e bardhe me gozhde, 12/25 100 cope",Elektrik,,,,,elektrik,active
5510000 – Prizë Murale me 1 Vënd e Gomuar e Zezë,Elektrik,,,,,elektrik,active
44040161 – Kanalinë 40×16 me Ngjitje ( 2m ),Elektrik,,,,,elektrik,active
"Spot inkaso LED LIGHTPRO fuqia 6 W, 220 – 240 V, 6500 K, 400 lm",Elektrik,Ndriçim LED,,,,elektrik,active
Kanaline me ngjitje 40x25mm PVC (40cope) – 625008,Elektrik,,,,,elektrik,active
ED-2144 – Kase spoti rrethore alumini e bardhe,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2142 – Kase spoti rrethore alumini silver,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2148 – Kase spoti rrethore alumini e zeze,Elektrik,Spot & Lustër,,,,elektrik,active
"Llambe LED ED-SON fuqia 5 W, 220 V, 3000 K,  portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
ED-2149 – Kase spoti rrethore alumini e bardhe,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2141 – Kase spoti rrethore alumini rose gold,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2140 – Kase spoti rrethore alumini gold,Elektrik,Spot & Lustër,,,,elektrik,active
ED-8400 – Ndricues muri plastike gjysem-rreth E27,Elektrik,,,,,elektrik,active
ED-2147 – Kase spoti rrethore alumini silver,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2146 – Kase spoti rrethore alumini rose gold,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2145 – Kase spoti rrethore alumini gold,Elektrik,Spot & Lustër,,,,elektrik,active
ED-2143 – Kase spoti rrethore alumini e zeze,Elektrik,Spot & Lustër,,,,elektrik,active
"Llambe LED WELLMAX fuqia 9 W, 176 – 264 V, 3000 K / 4000 K / 6500 K, 810 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
"Llambe LED WELLMAX ”Pro-Series” fuqia 12 W, 176 – 264 V, 6500 K, 1160 lm portollamba E27",Elektrik,Ndriçim LED,,,,elektrik,active
